Name,Team,Depth_Chart,RB_Expected_Tier,Rec_Yds,Games_Played,Targets,Receptions,Yds_Tgt,Rec_TDs,Yds_per_Carry,Rush_Yds,Carries,Rushing_TDs,Snap_Percent,Redzone_Yds,Redzone_Targets,Redzone_Carries,20_Plus_Yd_Rushes,Success_Rate_Percent,Rush_Yds_Over_Expected_per_Carry,Small_Sample_Carries_Less_Than_90,Offensive_Line_Rank,Team_Rush_Percent_2023
James_Conner,ARI,1,4,165,13,33,27,5,2,5,1040,208,7,62,122,5,32,11,43,1.02,,26,44.1
Emari_Demercado,ARI,2.5,8.5,119,14,30,21,3.967,0,4.9,284,58,2,31,19,1,3,1,n/a,n/a,SS,26,44.1
Bijan_Robinson,ATL,1,2,487,17,86,58,5.663,4,4.6,976,214,4,68,106,9,22,7,38.3,0.39,,6,47.8
Tyler_Allgeier,ATL,2,6,193,17,23,18,8.391,1,3.7,683,186,4,32,103,2,35,2,39.2,-0.33,,6,47.8
Derrick_Henry,BAL,1,2,214,17,36,28,5.944,0,4.2,1167,280,12,53,92,2,34,5,40.1,0.31,,25,49.92
Keaton_Mitchell,BAL,2.5,7,93,8,11,9,8.455,0,8.4,396,47,2,29,2,1,4,7,n/a,n/a,SS,25,49.92
Justice_Hill,BAL,2,7,206,16,39,28,5.282,1,4.6,387,84,3,41,91,2,24,2,n/a,n/a,SS,25,49.92
James_Cook,BUF,1,3,445,17,54,44,8.241,4,4.7,1122,237,2,54,118,6,29,6,42.7,0.45,,8,46.47
Chuba_Hubbard,CAR,1,6,233,17,44,39,5.295,0,3.8,902,238,5,59,86,1,36,4,44.5,0.19,,20,40.6
Miles_Sanders,CAR,2,6,154,16,41,27,3.756,0,3.3,432,129,1,38,14,3,11,1,28.1,-0.42,,20,40.6
D_Andre_Swift,CHI,1,4,214,16,49,39,4.367,1,4.6,1049,229,5,58,144,5,38,6,36.9,-0.29,,11,48.68
Khalil_Herbert,CHI,2,7,134,12,31,20,4.323,1,4.6,611,132,2,45,54,4,14,5,41.9,0.29,,11,48.68
Zack_Moss,CIN,1,4.5,192,14,37,27,5.189,2,4.3,794,183,5,56,148,7,40,6,41.8,0.71,,21,36.55
Chase_Brown,CIN,2,5,156,12,15,14,10.4,1,4.1,179,44,0,13,11,1,7,2,n/a,n/a,SS,21,36.55
Jerome_Ford,CLE,1.5,5.5,319,17,63,44,5.063,5,4,813,204,4,51,56,6,16,5,35.2,-0.02,,4,42.08
